N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
19,크래프톤,"378,500","상승
				9,500",+2.57%,100,"181,343","47,911",41.60,"63,584",13.93,21.10,
20,HMM,"19,330","상승
				110",+0.57%,"5,000","170,305","881,039",9.49,"378,907",3.82,15.35,
21,카카오,"38,050","하락
				800",-2.06%,100,"168,893","443,872",27.95,"777,418",306.85,0.56,
22,삼성화재,"350,500","하락
				500",-0.14%,500,"166,049","47,375",53.61,"13,622",8.55,13.11,
23,하나금융지주,"57,600","상승
				300",+0.52%,"5,000","165,451","287,241",66.56,"183,724",4.47,9.11,
24,HD한국조선해양,"228,500","상승
				2,500",+1.11%,"5,000","161,717","70,773",31.58,"79,113",13.79,11.16,
25,삼성생명,"79,600","상승
				100",+0.13%,500,"159,200","200,000",21.69,"38,397",7.56,6.18,
26,한국전력,"24,400","상승
				250",+1.04%,"5,000","156,639","641,964",16.82,"991,952",4.49,9.22,
27,LG화학,"221,000","하락
				4,000",-1.78%,"5,000","156,009","70,592",31.01,"101,073",-25.04,-2.11,
28,두산에너빌리티,"23,850","하락
				250",-1.04%,"5,000","152,774","640,561",23.68,"1,531,358",137.07,1.52,
29,SK이노베이션,"95,700","하락
				2,000",-2.05%,"5,000","144,540","151,035",13.72,"134,184",-4.51,-9.65,
30,고려아연,"688,000","하락
				6,000",-0.86%,"5,000","142,439","20,703",12.28,"3,375",74.86,2.28,
31,KT&G,"109,900","상승
				2,100",+1.95%,"5,000","134,147","122,062",43.86,"148,069",12.25,12.66,
32,삼성중공업,"14,680","상승
				140",+0.96%,"1,000","129,184","880,000",29.94,"3,670,783",201.10,1.77,
33,KT,"49,000","상승
				1,350",+2.83%,"5,000","123,491","252,022",49.00,"162,091",26.49,2.85,
34,SK텔레콤,"57,200","상승
				1,000",+1.78%,100,"122,860","214,790",42.39,"468,937",9.85,10.83,
35,삼성SDI,"178,300","하락
				4,300",-2.35%,"5,000","122,607","68,765",31.76,"146,118",21.40,3.13,
36,우리금융지주,"16,410",보합0,0.00%,"5,000","121,859","742,592",45.26,"507,582",3.96,9.39,
37,현대로템,"108,500","상승
				3,700",+3.53%,"5,000","118,419","109,142",30.92,"702,661",29.10,21.85,
38,기업은행,"14,410","상승
				50",+0.35%,"5,000","114,909","797,426",13.74,"204,442",4.35,8.06,
39,LG전자,"70,100","상승
				100",+0.14%,"5,000","114,717","163,648",29.68,"177,609",34.50,1.81,
40,HD현대일렉트릭,"316,500","하락
				4,500",-1.40%,"5,000","114,089","36,047",31.45,"119,393",22.75,39.34,
41,SK스퀘어,"82,700","하락
				1,300",-1.55%,100,"110,444","133,548",51.67,"126,671",3.02,21.70,
42,카카오뱅크,"20,950","상승
				100",+0.48%,"5,000","99,926","476,976",16.86,"124,966",22.70,6.95,
43,LG,"62,700",보합0,0.00%,"5,000","98,628","157,301",34.69,"39,309",17.49,2.16,
44,포스코퓨처엠,"126,200","하락
				3,000",-2.32%,500,"97,759","77,463",9.43,"94,134",-46.04,-7.98,
45,포스코인터내셔널,"53,700","하락
				700",-1.29%,"5,000","94,471","175,923",6.17,"187,391",18.36,8.14,
46,하이브,"226,500","상승
				3,500",+1.57%,500,"94,342","41,652",19.26,"95,724","1,006.67",0.31,
47,유한양행,"115,200","상승
				1,700",+1.50%,"1,000","92,401","80,209",18.34,"316,873",132.57,3.41,
48,삼성전기,"122,200","상승
				2,500",+2.09%,"5,000","91,276","74,694",32.59,"661,839",13.96,8.16,
49,삼성에스디에스,"115,800",보합0,0.00%,500,"89,603","77,378",19.18,"22,253",11.84,8.42,
50,SK,"121,100","하락
				1,800",-1.46%,200,"87,801","72,503",23.28,"32,762",-6.87,-5.64,
