32,삼성중공업,"14,690","상승
				150",+1.03%,"1,000","129,272","880,000",29.94,"3,524,271",201.23,1.77,
33,KT,"48,950","상승
				1,300",+2.73%,"5,000","123,365","252,022",49.00,"146,462",26.46,2.85,
34,SK텔레콤,"57,200","상승
				1,000",+1.78%,100,"122,860","214,790",42.39,"449,710",9.85,10.83,
35,삼성SDI,"178,400","하락
				4,200",-2.30%,"5,000","122,676","68,765",31.76,"131,080",21.41,3.13,
36,우리금융지주,"16,410",보합0,0.00%,"5,000","121,859","742,592",45.26,"462,429",3.96,9.39,
37,현대로템,"108,400","상승
				3,600",+3.44%,"5,000","118,310","109,142",30.92,"658,835",29.08,21.85,
38,LG전자,"70,200","상승
				200",+0.29%,"5,000","114,881","163,648",29.68,"155,131",34.55,1.81,
39,기업은행,"14,400","상승
				40",+0.28%,"5,000","114,829","797,426",13.74,"185,844",4.34,8.06,
40,HD현대일렉트릭,"316,500","하락
				4,500",-1.40%,"5,000","114,089","36,047",31.45,"105,559",22.75,39.34,
41,SK스퀘어,"82,700","하락
				1,300",-1.55%,100,"110,444","133,548",51.67,"113,517",3.02,21.70,
42,카카오뱅크,"20,950","상승
				100",+0.48%,"5,000","99,926","476,976",16.86,"105,734",22.70,6.95,
43,LG,"62,700",보합0,0.00%,"5,000","98,628","157,301",34.69,"33,695",17.49,2.16,
44,포스코퓨처엠,"126,800","하락
				2,400",-1.86%,500,"98,223","77,463",9.43,"79,513",-46.26,-7.98,
45,포스코인터내셔널,"53,850","하락
				550",-1.01%,"5,000","94,734","175,923",6.17,"171,819",18.41,8.14,
46,하이브,"227,000","상승
				4,000",+1.79%,500,"94,550","41,652",19.26,"89,876","1,008.89",0.31,
47,유한양행,"115,800","상승
				2,300",+2.03%,"1,000","92,882","80,209",18.34,"298,123",133.26,3.41,
48,삼성전기,"121,850","상승
				2,150",+1.80%,"5,000","91,014","74,694",32.59,"643,717",13.92,8.16,
49,삼성에스디에스,"115,800",보합0,0.00%,500,"89,603","77,378",19.18,"21,145",11.84,8.42,
50,SK,"121,100","하락
				1,800",-1.46%,200,"87,801","72,503",23.28,"27,744",-6.87,-5.64,
